trial;game;d1;t1;t2;t3;c_p;d2;d3;s1;d4;d5;d6;s2;d7;d8;d9
31;14;1;1.491501224;1.541501224;5.0552044324;339;1;0;331.0306694877;1;-1;0;341.7875140172;87;0;0
32;14;1;1.2850593515;1.3350593515;5.2602329833;51;1;0;40.0984099453;1;-1;0;50.8508929684;100;0;0
33;14;1;1.8844148312;1.9344148312;4.9220655618;138;1;0;126.3105410748;1;-1;0;154.8912288064;74;0;0
34;14;1;1.2681046755;1.3181046755;4.8025100091;222;1;0;208.4566844221;1;-1;0;224.1641907583;99;0;0
35;14;1;1.8662121436;1.9162121436;5.6528032755;330;1;0;326.2078396264;1;-1;0;337.48602293;64;0;0
36;14;1;1.5353991324;1.5853991324;4.2299129741;3;1;0;19.8912288064;1;-1;0;-0.7480523986;67;0;0
37;14;1;1.4505196558;1.5005196558;4.4656165263;96;1;0;97.6581950098;1;-1;0;82.7731716186;88;0;0
38;14;1;1.7497424772;1.7997424772;5.576699964;258;1;0;259.2244605524;1;-1;0;259.2244605524;103;0;0
39;14;1;1.804391735;1.854391735;5.2553232903;333;1;0;328.7745649729;1;-1;0;346.3958650175;111;0;0
40;14;1;1.4689718813;1.5189718813;5.0809131753;24;1;0;13.8926120867;1;-1;0;16.0306694877;81;0;0
41;14;1;1.534613749;1.584613749;5.3504660504;153;1;0;139.7731716186;1;-1;0;162.8070611465;82;0;0
42;14;1;1.7202673969;1.7702673969;5.6179893373;270;1;0;279.8070611465;1;-1;0;286.8587963207;95;0;0
43;14;1;1.9907669476;2.0407669476;5.2591227253;336;1;0;333.5395420694;1;-1;0;339.0218116774;110;0;0
44;14;1;1.2992017812;1.3492017812;3.3861071751;12;1;0;0.3249391486;1;-1;0;-2.1507261907;89;0;0
45;14;1;1.8169322365;1.8669322365;5.4538536686;177;1;0;176.1888864118;1;-1;0;170.4503760005;112;0;0
46;14;1;1.9931036592;2.0431036592;4.5761551877;246;1;0;249.0218116774;1;-1;0;247.1078337222;63;0;0
47;14;1;1.7339988416;1.7839988416;3.90067607;273;1;0;267.0292289602;1;-1;0;297.3489844061;69;0;0
48;14;1;1.4543229921;1.5043229921;5.3883719383;90;1;0;103.3958650175;1;-1;0;95.0303998838;117;0;0
49;14;1;1.622382697;1.672382697;5.2022953843;93;1;0;93.2627927571;1;-1;0;104.8079790086;75;0;0
50;14;1;1.4596917285;1.5096917285;3.6458774891;219;1;0;225.2428975971;1;-1;0;227.4452537952;98;0;0
51;14;1;1.5546366684;1.6046366684;4.0501366939;306;1;0;291.8492738093;1;-1;0;296.7547458492;71;0;0
52;14;1;1.7593807727;1.8093807727;4.5202944555;18;1;0;12.7096477468;1;-1;0;26.0955588459;83;0;0
53;14;1;1.845575399;1.895575399;5.6490460485;150;1;0;152.7875140172;1;-1;0;136.4566844221;102;0;0
54;14;1;1.2951083679;1.3451083679;3.5077217984;183;1;0;204.2462213197;1;-1;0;173.4284103401;61;0;0
55;14;1;1.8651954494;1.9151954494;4.8077629089;354;1;0;349.7657720565;1;-1;0;345.6034176969;76;0;0
56;14;1;1.130015099;1.180015099;4.7953986309;30;1;0;29.8508929684;1;-1;0;19.7478683321;84;0;0
57;14;1;1.0047153945;1.0547153945;4.4053001296;117;1;0;141.3489844061;1;-1;0;129.9320311188;105;0;0
58;14;1;1.3001102221;1.3501102221;3.4789710529;243;1;0;234.6034176969;1;-1;0;233.8249978276;91;0;0
59;14;1;1.8379138284;1.8879138284;5.1004737287;276;1;0;283.5678023107;1;-1;0;275.0993325048;115;0;0
60;14;1;1.6143961167;1.6643961167;4.5936944193;63;1;0;62.0993325048;1;-1;0;71.0865716575;94;0;0
